name      - the name of the galaxy;
a_26      - linear diameter of the galaxy in kpc, determined at Holmberg's isophote (26.5 mag/square arcsec);
m_b       - absolute magnitude of the galaxy in the B-band corrected for extinction;
log_lk    - logarithm of the stellar mass in solar units;
log_m26   - logarithm of the indicative (dynamic) mass within the Holmberg diameter; 
log_mhi   - logarithm of the hydrogen mass in solar units;
ti1       - tidal index $\Theta_1$;
md        - Main Disturber's name;
D         - distance to the galaxy in Mpc;
delta_vlg - line-of-sight velocity of the galaxy (in km s$^{-1}$) relative to the velocity of MD;
count     - number of members in the suite of MD, to which the galaxy belongs.
 
       name        | a_26  |  m_b  | log_lk | log_m26 | log_mhi | vlg  | ti1  |       md        |   D   | delta_vlg | count 
 KK258             |  0.98 | -10.3 |   7.06 |         | <5.65   |      | -1.1 | NGC0253         |  2.00 |           |    25
 IC5152            |  4.07 | -15.6 |   8.72 |    8.94 |  8.02   |   73 | -1.3 | NGC0253         |  1.97 |      -203 |    25
 UGC00685          |  3.28 | -14.3 |   7.97 |    8.69 |  7.74   |  351 | -1.4 | NGC0253         |  4.51 |        75 |    25
 ESO149-003        |  4.27 | -13.9 |   7.80 |    8.28 |  7.75   |  498 | -1.4 | NGC0253         |  5.90 |       222 |    25
 ESO115-021        |  9.95 | -15.5 |   8.73 |    9.50 |  8.56   |  339 | -1.5 | NGC0253         |  4.99 |        63 |    25
 ESO154-023        | 12.72 | -16.3 |   8.89 |    9.62 |  9.09   |  408 | -1.5 | NGC0253         |  5.55 |       132 |    25
 AGC748778         |  0.53 | -10.0 |   6.27 |    5.64 |  6.51   |  486 | -1.6 | NGC0253         |  5.40 |       210 |    25
 ESO409-015        |  2.65 | -14.4 |   7.99 |    8.20 |  7.99   |  769 | -1.7 | NGC0253         |  7.70 |       493 |    25
 NGC1705           |  3.31 | -15.9 |   8.52 |    9.21 |  7.96   |  401 | -1.8 | NGC0253         |  5.11 |       125 |    25
 ESO553-046        |  1.70 | -14.1 |   7.93 |    8.37 |  7.21   |  370 | -2.0 | NGC0253         |  5.07 |        94 |    25
 ESO490-017        |  2.22 | -14.5 |   7.78 |    8.05 |  7.55   |  269 | -2.1 | NGC0253         |  4.23 |        -7 |    25
 UGC02905          |  2.23 | -14.4 |   8.02 |    7.93 |  7.56   |  344 | -2.1 | NGC0253         |  5.83 |        68 |    25
 ESO489-056        |  1.09 | -13.1 |   7.48 |    5.94 |  7.16   |  263 | -2.1 | NGC0253         |  4.99 |       -13 |    25
 KK49              |  2.89 | -14.9 |   8.66 |    8.48 |  7.73   |  376 | -2.2 | NGC0253         |  5.15 |       100 |    25
 NGC4627           |  3.89 | -16.4 |   9.50 |         |         |  541 |  2.8 | NGC4631         |  7.30 |       -40 |    16
 LV J1243+3232     |  0.75 | -10.4 |   7.11 |         |         |      |  2.7 | NGC4631         |  7.30 |           |    16
 KK152             |  2.12 | -13.0 |   7.44 |    7.52 |  7.54   |  836 |  0.3 | NGC4631         |  6.90 |       255 |    16
 NGC4861           |  7.48 | -16.5 |   8.86 |    9.24 |  8.59   |  861 |  0.3 | NGC4631         |  7.30 |       280 |    16
 KK141             |  0.90 | -12.9 |   7.41 |    6.78 |  7.20   |  568 |  0.0 | NGC4631         |  7.78 |       -13 |    16
 DDO127            |  3.21 | -14.3 |   7.96 |    8.33 |  8.00   |  290 | -0.3 | NGC4631         |  6.89 |      -291 |    16
 NGC4559           | 25.37 | -19.8 |  10.11 |   10.59 |  9.44   |  787 | -0.4 | NGC4631         |  8.10 |       206 |    16
 LV J1203+3257     |  2.09 | -12.8 |   7.46 |         |         |  551 | -0.6 | NGC4631         |  7.55 |       -30 |    16
 Arp211            |  1.63 | -13.4 |   7.63 |    6.94 |  7.36   |  484 | -0.6 | NGC4631         |  6.61 |       -97 |    16
 NGC4136           |  9.27 | -17.9 |   9.39 |   10.03 |  8.67   |  577 | -0.6 | NGC4631         |  7.90 |        -4 |    16
 KK138             |  0.76 | -10.4 |   6.41 |         | <6.25   |      | -0.8 | NGC4631         |  6.30 |           |    16
 KK144             |  1.98 | -12.5 |   7.27 |    7.65 |  7.86   |  449 | -0.9 | NGC4631         |  6.15 |      -132 |    16
 KKH80             |  1.85 | -12.6 |   7.31 |    6.33 |  7.08   |  542 | -0.9 | NGC4631         |  7.43 |       -39 |    16
 MCG +05-28-046    |  2.58 | -13.1 |   7.50 |         |         |  544 | -0.9 | NGC4631         |  7.45 |       -37 |    16
 AGC732602         |  1.26 | -12.2 |   7.14 |    6.72 |  7.00   |  908 | -1.0 | NGC4631         |  7.20 |       327 |    16
 AGC238890         |  1.64 | -12.6 |   7.30 |    6.21 |  6.58   |  356 | -1.2 | NGC4631         |  6.80 |      -225 |    16
 UGC05086          |  2.63 | -13.5 |   8.36 |         |         |  378 |  4.1 | NGC2903         |  8.90 |       -65 |    15
 NGC2903-HI-1      |  0.71 | -11.7 |   6.92 |    5.99 |  6.42   |  470 |  3.3 | NGC2903         |  8.90 |        27 |    15
 KDG056            |  1.81 | -12.9 |   7.42 |    6.57 |  7.17   |  441 |  1.7 | NGC2903         |  8.90 |        -2 |    15
 LSBC D565-06      |  1.64 | -12.7 |   7.32 |    6.58 |  6.74   |  386 |  0.7 | NGC2903         |  9.08 |       -57 |    15
 LSBC D564-08      |  1.85 | -11.9 |   7.02 |    8.16 |  7.52   |  366 | -0.3 | NGC2903         |  8.67 |       -77 |    15
 LSBC D634-03      |  1.34 | -12.6 |   7.28 |    8.32 |  6.70   |  189 | -0.7 | NGC2903         |  9.55 |      -254 |    15
 AGC198508         |  1.16 | -12.4 |   7.23 |    7.01 |  6.97   |  424 | -0.8 | NGC2903         | 10.40 |       -19 |    15
 DDO068            |  5.56 | -15.3 |   8.17 |    8.83 |  8.73   |  429 | -0.9 | NGC2903         |  9.80 |       -14 |    15
 IC0559            |  3.66 | -15.0 |   8.25 |    8.81 |  8.00   |  370 | -1.1 | NGC2903         |  9.40 |       -73 |    15
 NGC3239           | 11.64 | -18.1 |   9.52 |   10.01 |  8.89   |  623 | -1.1 | NGC2903         |  7.90 |       180 |    15
 AGC731457         |  1.03 | -13.1 |   7.51 |    7.44 |  7.09   |  380 | -1.3 | NGC2903         |  9.20 |       -63 |    15
 UGC05288          |  2.92 | -14.8 |   8.39 |    8.87 |  8.28   |  378 | -1.5 | NGC2903         |  6.85 |       -65 |    15
 NGC3344           | 15.51 | -18.9 |  10.02 |   10.63 |  9.13   |  500 | -1.6 | NGC2903         |  6.85 |        57 |    15
 UGC05456          |  2.67 | -15.1 |   8.16 |    8.39 |  7.71   |  360 | -1.9 | NGC2903         |  5.60 |       -83 |    15
 KKH46             |  1.02 | -11.9 |   7.01 |    6.78 |  7.28   |  409 | -1.9 | NGC2903         |  5.60 |       -34 |    15
 KK69              |  3.15 | -12.2 |   7.12 |    6.65 |  7.51   |  418 |  3.3 | NGC2683         |  7.70 |        53 |    13
 KK70              |  1.17 | -11.9 |   7.70 |         | <6.83   |      |  2.9 | NGC2683         |  7.70 |           |    13
 KUG 0821+321      |  1.65 | -13.0 |   7.43 |         |         |  595 | -0.3 | NGC2683         |  8.15 |       230 |    13
 UGC05186          |  3.18 | -13.4 |   7.61 |    7.70 |  7.38   |  496 | -1.0 | NGC2683         |  8.30 |       131 |    13
 AGC182595         |  0.66 | -11.9 |   7.02 |    5.77 |  6.66   |  323 | -1.1 | NGC2683         |  6.10 |       -42 |    13
 UGC05209          |  1.61 | -13.1 |   7.49 |    8.29 |  7.15   |  479 | -1.1 | NGC2683         |  6.56 |       114 |    13
 DDO046            |  3.71 | -15.0 |   8.11 |    9.50 |  8.22   |  373 | -1.4 | NGC2683         |  6.85 |         8 |    13
 NGC2337           |  6.77 | -16.5 |   8.98 |    9.78 |  8.60   |  476 | -1.8 | NGC2683         |  7.87 |       111 |    13
 UGC03600          |  4.19 | -13.5 |   7.76 |    8.84 |  7.78   |  421 | -1.9 | NGC2683         |  7.24 |        56 |    13
 UGC03476          |  3.59 | -14.3 |   7.96 |    8.74 |  8.15   |  477 | -2.1 | NGC2683         |  7.01 |       112 |    13
 AGC174585         |  0.72 | -11.2 |   6.73 |    5.85 |  6.68   |  217 | -2.1 | NGC2683         |  6.10 |      -148 |    13
 AGC174605         |  0.60 | -11.0 |   6.65 |    6.49 |  6.75   |  196 | -2.1 | NGC2683         |  6.00 |      -169 |    13
 UGC03755          |  4.27 | -15.7 |   8.40 |    7.95 |  8.25   |  186 | -2.2 | NGC2683         |  7.41 |      -179 |    13
 KDG065            |  3.01 | -13.6 |   8.39 |         |         |  479 |  4.9 | NGC3115         |  9.70 |        40 |    12
 KKSG18            |  4.45 | -16.6 |   9.27 |         |         |  456 |  3.9 | NGC3115         |  9.70 |        17 |    12
 KKSG17            |  4.65 | -14.8 |   8.17 |    8.35 |  7.72   |  203 |  2.3 | NGC3115         |  9.70 |      -236 |    12
 MCG -01-26-009    |  3.24 | -14.0 |   7.85 |    8.21 |  7.71   |  510 |  1.8 | NGC3115         |  9.70 |        71 |    12
 UGCA193           | 11.23 | -15.8 |   8.50 |    9.57 |  8.55   |  427 |  1.5 | NGC3115         |  9.70 |       -12 |    12
 KKSG16            |  2.67 | -12.2 |   7.85 |         | <7.03   |      |  1.3 | NGC3115         |  9.70 |           |    12
 KKSG15            |  3.56 | -15.0 |   8.24 |    8.33 |  7.77   |  554 |  0.9 | NGC3115         |  9.70 |       115 |    12
 KDG058            |  2.01 | -13.1 |   7.47 |         |         |      | -0.7 | NGC3115         | 10.00 |           |    12
 LV J0935-1348     |  0.91 | -12.9 |   7.42 |         | <7.10   |  533 | -1.3 | NGC3115         |  7.30 |        94 |    12
 LV J1021+0054     |  0.86 | -11.9 |   7.01 |         | <7.03   |  495 | -1.5 | NGC3115         |  6.78 |        56 |    12
 UGC05797          |  2.57 | -15.1 |   8.28 |    8.59 |  7.65   |  511 | -1.5 | NGC3115         |  7.00 |        72 |    12
 LV J0956-0929     |  1.48 | -13.0 |   7.44 |         | <6.80   |  378 | -2.0 | NGC3115         |  5.18 |       -61 |    12
 NGC4509           |  2.68 | -16.0 |   8.72 |    8.39 |  7.98   |  925 |  0.5 | NGC4414         | 10.10 |           |    12
 UGC7427           |  3.00 | -14.1 |   7.89 |    7.67 |  7.76   |  727 |  0.1 | NGC4414         |  9.70 |           |    12
 NGC4534           |  8.56 | -16.9 |   8.82 |    9.59 |  9.00   |  811 | -0.1 | NGC4414         |  9.80 |           |    12
 UGCA294           |  3.13 | -15.2 |   8.34 |    8.47 |  8.09   |  935 | -0.2 | NGC4414         |  9.90 |           |    12
 KDG098            |  2.02 | -13.4 |   8.30 |         |         |      | -0.3 | NGC4414         |  9.00 |           |    12
 DDO143            |  5.79 | -13.9 |   7.80 |    8.45 |  8.43   |  616 | -0.5 | NGC4414         |  9.10 |           |    12
 AGC749241         |  0.91 | -11.6 |   6.88 |    6.27 |  7.18   |  418 | -0.6 | NGC4414         |  9.20 |           |    12
 UGC7257           |  3.44 | -15.5 |   8.30 |    8.98 |  8.32   |  957 | -0.8 | NGC4414         |  8.80 |           |    12
 BTS142            |  0.97 | -11.6 |   6.90 |    7.17 |  7.15   |  740 | -0.8 | NGC4414         | 10.00 |           |    12
 UGCA298           |  2.86 | -15.0 |   8.43 |    8.74 |  7.29   |  817 | -0.8 | NGC4414         | 11.00 |           |    12
 KK167             |  2.27 | -13.5 |   7.64 |    7.91 |  7.68   | 1221 | -0.8 | NGC4414         |  9.20 |           |    12
 UGC07584          |  2.43 | -13.7 |   7.74 |    7.65 |  7.78   |  545 | -1.0 | NGC4414         |  9.20 |           |    12
 [KK2000] 71       |  4.41 | -14.7 |   8.13 |         |         |      |  4.7 | NGC6744         |  8.30 |           |    12
 [KK2000] 72       |  1.36 | -11.9 |   7.00 |         |         |      |  4.0 | NGC6744         |  8.30 |           |    12
 [KK2000] 70       |  1.37 | -12.1 |   7.09 |         |         |      |  3.8 | NGC6744         |  8.30 |           |    12
 ESO104-044        |  4.37 | -14.8 |   8.17 |    8.81 |  8.33   |  614 |  3.5 | NGC6744         |  8.30 |       -92 |    12
 NGC6684           | 10.45 | -18.7 |  10.38 |    9.47 |  7.41   |  720 |  0.6 | NGC6744         |  8.70 |        14 |    12
 IC4710            |  9.23 | -17.4 |   9.30 |    8.96 |  8.66   |  580 |  0.1 | NGC6744         |  7.94 |      -126 |    12
 IC4870            |  4.01 | -15.3 |   8.21 |    8.80 |  8.49   |  740 | -0.3 | NGC6744         |  7.30 |        34 |    12
 ESO104-022        |  3.07 | -13.9 |   7.80 |    8.03 |  8.28   |  654 | -0.8 | NGC6744         |  6.70 |       -52 |    12
 IC4951            |  8.94 | -16.4 |   8.92 |    9.47 |  8.75   |  701 | -1.0 | NGC6744         |  9.80 |        -5 |    12
 IC5052            | 13.81 | -18.1 |   9.35 |    9.97 |  8.89   |  440 | -1.5 | NGC6744         |  6.03 |      -266 |    12
 NGC7090           | 19.03 | -18.6 |   9.73 |   10.26 |  8.96   |  784 | -1.6 | NGC6744         |  6.70 |        78 |    12
 KK246             |  2.65 | -13.7 |   7.82 |    8.17 |  8.07   |  478 | -2.2 | NGC6744         |  7.83 |      -228 |    12
 GBT 1355+5439     |       |       |        |         |  7.15   |  345 |  2.2 | MESSIER101      |  7.41 |       -33 |    11
 NGC5474           | 10.09 | -17.9 |   9.23 |    9.12 |  9.04   |  424 |  2.0 | MESSIER101      |  7.20 |        46 |    11
 HolmIV            |  8.25 | -15.6 |   8.61 |    9.08 |  8.35   |  272 |  1.8 | MESSIER101      |  7.21 |      -106 |    11
 NGC5477           |  4.57 | -15.3 |   8.37 |    8.71 |  8.71   |  451 |  1.4 | MESSIER101      |  7.70 |        73 |    11
 KKH87             |  2.28 | -13.2 |   7.55 |    7.71 |  7.79   |  473 |  0.9 | MESSIER101      |  7.20 |        95 |    11
 UGC08882          |  2.58 | -13.9 |   7.67 |         |         |  482 |  0.0 | MESSIER101      |  8.32 |       104 |    11
 DDO194            |  4.83 | -15.1 |   8.37 |    8.94 |  8.11   |  381 | -0.1 | MESSIER101      |  8.02 |         3 |    11
 KDG229            |  1.96 | -13.1 |   7.48 |         |         |      | -0.1 | MESSIER101      |  8.00 |           |    11
 NGC5585           |  9.74 | -17.8 |   9.03 |    9.87 |  8.82   |  457 | -0.8 | MESSIER101      |  5.70 |        79 |    11
 UGC09660          |  2.56 | -15.1 |   8.36 |    8.42 |  7.90   |  745 | -0.8 | MESSIER101      |  7.40 |       367 |    11
 UGC09992          |  3.58 | -14.1 |   7.88 |    8.35 |  8.02   |  638 | -1.2 | MESSIER101      |  7.30 |       260 |    11
 KK177             |  1.03 | -11.0 |   7.34 |         |         |      |  2.3 | NGC4826         |  4.40 |           |    11
 KK180             |  1.15 | -11.0 |   7.36 |         |         |      |  0.9 | NGC4826         |  4.40 |           |    11
 DDO154            |  2.50 | -14.0 |   7.59 |    8.79 |  8.28   |  354 |  0.4 | NGC4826         |  4.04 |       -11 |    11
 UGC08638          |  2.05 | -13.7 |   7.96 |    7.50 |  7.08   |  275 | -0.2 | NGC4826         |  4.27 |       -90 |    11
 IC3840            |  1.54 | -12.0 |   7.04 |    7.36 |  7.21   |  510 | -0.7 | NGC4826         |  5.50 |       145 |    11
 KDG215            |  1.87 | -11.9 |   7.01 |    6.46 |  7.50   |  362 | -0.7 | NGC4826         |  5.50 |        -3 |    11
 UGC07596          |  2.09 | -13.5 |   7.65 |    6.95 |  6.26   |  443 | -0.7 | NGC4826         |  4.60 |        78 |    11
 VCC0381           |  1.06 | -11.7 |   6.93 |    6.62 |  7.14   |  344 | -0.9 | NGC4826         |  4.71 |       -21 |    11
 UGC07636          |  1.36 | -13.8 |   7.76 |    6.63 |  6.17   |  344 | -1.0 | NGC4826         |  5.20 |       -21 |    11
 KDG216            |  1.99 | -12.1 |   7.78 |         | <6.77   |      | -1.2 | NGC4826         |  6.00 |           |    11
 LV J1158+1535     |  0.61 | -11.0 |   6.66 |         | <6.97   |  458 | -1.6 | NGC4826         |  6.27 |        93 |    11
 KK193             |  1.47 | -11.1 |   6.70 |         |         |      |  2.7 | NGC5055         |  8.90 |           |    11
 CGCG 217-018      |  2.42 | -14.7 |   8.12 |         |         |  608 |  0.5 | NGC5055         |  8.33 |        46 |    11
 DDO182            |  3.40 | -14.1 |   7.89 |    8.16 |  8.03   |  730 |  0.2 | NGC5055         |  8.90 |       168 |    11
 KKH82             |  2.70 | -13.2 |   7.53 |         |         |  588 |  0.1 | NGC5055         |  8.06 |        26 |    11
 BTS157            |  1.38 | -12.4 |   7.20 |    6.40 |  6.96   |  644 |  0.0 | NGC5055         |  8.83 |        82 |    11
 KK194             |  1.82 | -12.5 |   7.24 |         |         |      | -0.1 | NGC5055         | 10.00 |           |    11
 BTS146            |  0.83 | -12.2 |   7.14 |    6.57 |  6.97   |  470 | -0.3 | NGC5055         |  8.50 |       -92 |    11
 UGC7719           |  5.53 | -14.6 |   8.21 |    8.61 |  8.22   |  704 | -0.4 | NGC5055         |  9.20 |       142 |    11
 NGC4460           | 11.54 | -17.7 |   9.66 |    9.31 |  8.08   |  551 | -0.6 | NGC5055         |  9.59 |       -11 |    11
 KK227             |  2.06 | -12.5 |   7.97 |         |         |      | -0.6 | NGC5055         | 10.00 |           |    11
 MRK0475           |  1.19 | -13.5 |   7.64 |    7.44 |  6.48   |  677 | -1.2 | NGC5055         |  9.20 |       115 |    11
 KK35              |  3.91 | -14.3 |   7.97 |         |         |  149 |  2.4 | IC0342          |  3.16 |       -95 |    10
 KKH22             |  1.49 | -11.4 |   6.80 |         | <6.46   |      |  1.1 | IC0342          |  3.50 |           |    10
 UGCA086           |  9.14 | -17.9 |   9.13 |         |         |  280 |  1.1 | IC0342          |  2.96 |        36 |    10
 NGC1560           | 10.84 | -16.6 |   8.72 |    9.53 |  9.03   |  170 |  1.0 | IC0342          |  3.45 |       -74 |    10
 CamB              |  1.71 | -11.9 |   7.05 |    6.14 |  7.08   |  267 |  0.9 | IC0342          |  3.34 |        23 |    10
 NGC1569           |  5.77 | -18.1 |   9.37 |    9.23 |  8.27   |  106 |  0.9 | IC0342          |  3.06 |      -138 |    10
 Cas1              |  5.39 | -16.7 |   8.76 |    8.73 |  8.11   |  284 |  0.5 | IC0342          |  3.30 |        40 |    10
 UGCA105           |  6.62 | -16.8 |   9.08 |    9.55 |  8.58   |  281 |  0.3 | IC0342          |  3.15 |        37 |    10
 CamA              |  5.07 | -14.1 |   7.88 |    8.18 |  8.22   |  156 |  0.0 | IC0342          |  3.93 |       -88 |    10
 UGC02773          |  3.16 | -16.1 |   8.95 |    8.94 |  8.23   |  395 | -1.6 | IC0342          |  5.40 |       151 |    10
 ESO300-016        |  3.72 | -14.2 |   7.94 |    8.12 |  7.86   |  583 |  1.7 | NGC1291         |  8.80 |      -119 |    10
 ESO300-014        | 19.96 | -17.1 |   9.30 |   10.00 |  8.65   |  824 | -0.1 | NGC1291         |  9.80 |       122 |    10
 PGC013294         |  1.43 | -13.4 |   7.62 |         | <7.18   |  582 | -0.2 | NGC1291         |  7.98 |      -120 |    10
 ESO199-007        |  2.01 | -12.7 |   7.35 |    8.10 |  7.32   |  479 | -1.2 | NGC1291         |  6.56 |      -223 |    10
 IC1959            |  6.84 | -16.0 |   8.47 |    9.41 |  8.36   |  465 | -1.5 | NGC1291         |  6.05 |      -237 |    10
 HIPASS J0457-42   |  2.88 | -14.9 |   8.21 |    8.31 |  8.13   |  448 | -1.5 | NGC1291         |  7.20 |      -254 |    10
 NGC1592           |  3.75 | -15.5 |   8.17 |    8.68 |  7.99   |  798 | -1.5 | NGC1291         |  9.10 |        96 |    10
 ESO483-013        |  3.49 | -15.5 |   8.72 |    8.68 |  7.63   |  780 | -1.6 | NGC1291         |  7.40 |        78 |    10
 NGC1800           |  4.59 | -16.4 |   9.04 |    8.70 |  8.13   |  625 | -1.7 | NGC1291         |  8.00 |       -77 |    10
 AM0106-382        |  1.71 | -13.4 |   7.60 |    7.68 |  7.58   |  605 | -1.7 | NGC1291         |  8.20 |       -97 |    10
 NGC2784 dw01      |  3.29 | -13.6 |   8.38 |         | <7.03   |      |  5.0 | NGC2784         |  9.80 |           |     9
 KK73              |  2.22 | -14.5 |   9.08 |         | <7.03   |      |  4.8 | NGC2784         |  9.80 |           |     9
 KK72              |  1.60 | -12.8 |   8.05 |         | <7.03   |      |  3.9 | NGC2784         |  9.80 |           |     9
 KK71              |  1.41 | -13.0 |   8.16 |         | <7.03   |      |  2.0 | NGC2784         |  9.80 |           |     9
 DDO056            |  4.23 | -15.1 |   8.28 |    8.97 |  7.86   |  438 |  1.8 | NGC2784         |  9.80 |        40 |     9
 NGC2835           | 28.90 | -19.7 |  10.19 |   10.63 |  9.34   |  600 |  0.5 | NGC2784         | 10.30 |       202 |     9
 ESO373-007        |  3.44 | -13.8 |   7.76 |    8.16 |  7.69   |  556 | -1.2 | NGC2784         |  8.30 |       158 |     9
 ESO495-021        |  5.31 | -17.6 |   9.53 |    9.51 |  8.25   |  581 | -1.2 | NGC2784         |  7.96 |       183 |     9
 ESO565-003        |  1.65 | -14.1 |   7.90 |    7.41 |  7.32   |  549 | -1.3 | NGC2784         |  7.52 |       151 |     9
 Dw1               |  6.30 | -18.8 |  10.36 |    9.91 |  8.54   |  333 |  2.7 | Maffei2         |  2.80 |       119 |     8
 IC0342            | 34.25 | -20.7 |  10.60 |   11.15 |  10.16  |  244 |  0.1 | Maffei2         |  3.28 |        30 |     8
 KKH6              |  1.29 | -12.4 |   7.02 |    6.98 |  6.63   |  313 | -0.5 | Maffei2         |  3.73 |        99 |     8
 NGC0404           |  3.25 | -16.5 |   9.28 |    9.58 |  7.93   |  193 | -0.8 | Maffei2         |  3.05 |       -21 |     8
 KKH98             |  0.82 | -10.8 |   6.58 |    5.85 |  6.45   |  156 | -0.9 | Maffei2         |  2.45 |       -58 |     8
 KKH5              |  1.38 | -12.3 |   7.16 |    7.60 |  6.87   |  326 | -1.0 | Maffei2         |  4.27 |       112 |     8
 UGC01703          |  1.05 | -11.5 |   7.56 |         | <6.30   |      | -1.3 | Maffei2         |  4.19 |           |     8
 KKH18             |  1.07 | -12.4 |   7.21 |    7.33 |  7.07   |  374 | -1.4 | Maffei2         |  4.43 |       160 |     8
 LeG23             |  0.55 | -11.1 |   6.70 |         |         |      |  3.7 | NGC3412         | 10.40 |           |     8
 LeG26             |  2.14 | -13.3 |   8.27 |         | <7.41   |  483 |  2.3 | NGC3412         | 10.40 |      -219 |     8
 AGC205540         |  0.97 | -12.2 |   7.14 |         | <7.53   |  691 |  2.0 | NGC3412         | 10.40 |       -11 |     8
 KK93              |  1.80 | -12.2 |   7.84 |         | <7.09   |      |  1.3 | NGC3412         | 10.40 |           |     8
 LeG27             |  1.13 | -11.6 |   7.58 |         |         |      |  1.2 | NGC3412         | 10.40 |           |     8
 AGC205544         |  1.37 | -13.1 |   8.18 |         | <7.41   |  692 |  0.9 | NGC3412         | 10.40 |       -10 |     8
 AGC205278         |  1.63 | -12.9 |   7.40 |    7.68 |  6.95   |  548 |  0.6 | NGC3412         | 10.40 |      -154 |     8
 LSBC D640-08      |  2.46 | -13.2 |   8.23 |         |         |      |  0.4 | NGC3412         | 10.40 |           |     8
 AGC213436         |  1.61 | -13.5 |   8.34 |         |         |  491 |  3.1 | NGC3627         | 10.30 |       -88 |     8
 IC2684            |  2.47 | -14.0 |   7.87 |    6.78 |  7.16   |  451 |  2.6 | NGC3627         | 10.30 |      -128 |     8
 IC2791            |  1.74 | -13.3 |   7.56 |    6.29 |  6.70   |  530 |  2.5 | NGC3627         | 10.30 |       -49 |     8
 IC2787            |  3.29 | -14.5 |   8.05 |    8.98 |  7.27   |  576 |  2.3 | NGC3627         | 10.30 |        -3 |     8
 AGC215354         |  1.52 | -12.8 |   7.37 |         | <7.41   |  659 |  1.7 | NGC3627         | 10.42 |        80 |     8
 NGC3593           | 18.20 | -18.9 |  10.43 |   10.48 |  8.33   |  492 |  0.8 | NGC3627         | 10.80 |       -87 |     8
 CGCG 066-109      |  3.05 | -13.9 |   7.83 |    8.04 |  7.65   |  629 |  0.4 | NGC3627         | 10.40 |        50 |     8
 KKH65             |  1.70 | -12.7 |   8.02 |         |         |      | -1.4 | NGC3627         | 10.00 |           |     8
 KK251             |  3.48 | -13.6 |   7.70 |    8.32 |  8.05   |  433 |  3.5 | NGC6946         |  5.89 |        78 |     8
 UGC11583          |  4.71 | -14.3 |   7.98 |    8.98 |  8.27   |  429 |  3.3 | NGC6946         |  5.89 |        74 |     8
 KK252             |  2.33 | -14.1 |   7.89 |    8.73 |  7.04   |  441 |  3.1 | NGC6946         |  5.89 |        86 |     8
 KKR55             |  1.92 | -14.8 |   8.17 |    7.79 |  7.63   |  337 |  2.4 | NGC6946         |  5.89 |       -18 |     8
 KKR56             |  2.35 | -14.4 |   8.01 |    6.38 |  7.64   |  264 |  1.7 | NGC6946         |  5.89 |       -91 |     8
 Cepheus1          | 12.32 | -17.6 |   9.39 |    9.46 |  9.05   |  342 |  0.9 | NGC6946         |  6.00 |       -13 |     8
 NGC6503           | 10.72 | -18.3 |   9.86 |   10.01 |  8.71   |  309 | -1.1 | NGC6946         |  5.27 |       -46 |     8
 LV J1952+1428     |  0.79 | -13.5 |   7.64 |    7.44 |  7.05   |  521 | -2.4 | NGC6946         |  7.13 |       166 |     8
 HIPASS J1131-31   |  2.04 | -12.4 |   7.22 |    7.36 |  7.33   |  432 |  0.7 | NGC3621         |  6.70 |        -8 |     7
 HIPASS J1133-32   |  1.05 | -13.1 |   7.50 |    7.93 |  7.00   |  424 |  0.7 | NGC3621         |  6.70 |       -16 |     7
 ESO318-013        |  3.34 | -14.4 |   8.12 |    8.29 |  8.01   |  413 | -0.6 | NGC3621         |  6.50 |       -27 |     7
 ESO320-014        |  2.74 | -13.7 |   7.74 |    8.03 |  7.33   |  362 | -0.7 | NGC3621         |  6.08 |       -78 |     7
 ESO376-016        |  1.47 | -14.0 |   7.84 |    7.71 |  8.06   |  366 | -0.7 | NGC3621         |  7.10 |       -74 |     7
 ESO501-023        |  7.41 | -16.3 |   8.88 |    9.22 |  8.53   |  756 | -1.1 | NGC3621         |  7.00 |       316 |     7
 LV J0939-2507     |  1.17 | -13.7 |   7.73 |    7.97 |  6.99   |  449 | -1.9 | NGC3621         |  6.15 |         9 |     7
 ESO269-058        |  5.60 | -15.1 |   8.87 |    8.77 |  7.38   |  140 |  2.1 | NGC4945         |  3.80 |      -159 |     7
 ESO269-037        |  1.36 | -12.0 |   7.05 |    6.27 |  5.60   |  481 |  1.1 | NGC4945         |  3.48 |       182 |     7
 NGC5128           | 42.65 | -20.8 |  10.91 |   11.70 |  8.46   |  310 |  0.7 | NGC4945         |  3.75 |        11 |     7
 ESO219-010        |  1.11 | -12.7 |   8.03 |         | <5.72   |      |  0.7 | NGC4945         |  4.29 |           |     7
 ESO174-001        |  3.94 | -15.7 |   7.90 |    8.64 |  8.17   |  438 |  0.6 | NGC4945         |  3.60 |       139 |     7
 CIRCINUS          | 20.28 | -20.7 |  10.60 |   10.54 |  9.30   |  189 | -0.6 | NGC4945         |  4.20 |      -110 |     7
 ESO215-009        |  3.67 | -13.5 |   7.74 |    8.63 |  8.82   |  290 | -1.2 | NGC4945         |  5.25 |        -9 |     7
 HIPASS J1247-77   |  1.18 | -12.7 |   7.02 |    7.19 |  7.11   |  154 | -0.8 | CIRCINUS        |  3.16 |       -35 |     6
 NGC2915           |  2.77 | -16.1 |   8.63 |    9.21 |  8.54   |  191 | -1.1 | CIRCINUS        |  3.78 |         2 |     6
 HIPASS J1441-62   |  1.79 | -14.1 |   7.90 |    8.15 |  7.54   |  440 | -1.2 | CIRCINUS        |  6.02 |       251 |     6
