       name        |  cz  | error |       bibcode       |                  refs                   
 NGC3351           |  777 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 AGC205445         |  633 |    31 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 LeG13             |  871 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 LeG17             | 1030 |     2 | 2009AJ....138..338S | Stierwalt et al. 2009
 NGC3368           |  893 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 LeG18             |  636 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KK94              |  832 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 LeG21             |  843 |     1 | 2009AJ....138..338S | Stierwalt et al. 2009
 DDO088            |  573 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 ESO318-013        |  718 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC3377           |  678 |     6 | 2000MNRAS.313..469S | Smith et al. 2000
 NGC3379           |  923 |     5 | 2003AJ....126.2268W | Wegner et al. 2003
 NGC3384           |  704 |       | 2000MNRAS.313..469S | Smith et al. 2000
 UGC05923          |  709 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 Willman1          |  -12 |     2 | 2007MNRAS.380..281M | Martin et al. 2007
 DDO087            |  340 |     6 | 1998A&AS..127..269H | Huchtmeier et al. 1998
 UGC05944          | 1073 |    27 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 NGC3412           |  846 |     1 | 2000MNRAS.313..469S | Smith et al. 2000
 NGC3413           |  634 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 LeG26             |  630 |    60 | 2011LV.Cz.........K | Current work
 AGC205540         |  832 |    53 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 AGC205544         |  828 |    38 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 LV J1052+3628     |  476 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 UGC05983          |  765 |    47 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 AGC202456         |  824 |    25 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 NGC3432           |  611 |     6 | 1981ApJS...47..139F | Fisher et al. 1981
 LV J1052+3639     |  511 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 KDG073            |  116 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC06014          | 1133 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 LSBC D640-12      |  847 |     2 | 2009AJ....138..338S | Stierwalt et al. 2009
 LSBC D640-13      |  989 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 HS1053+3624       |  572 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 ESO215-009        |  598 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 VV747             |  619 |     2 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 CGCG 095-078      |  650 |     1 | 2012SDSS9.C...0000: | SDSS DR9 2012
 AGC205278         |  686 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 NGC3489           |  695 |     6 | 2011AJ....142..170H | Haynes et al. 2011
 CGCG 066-109      |  777 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KKSG20            |  835 |    13 | 2004MNRAS.352..478R | Roberts et al. 2004
 MRK0036           |  646 |    16 | 2005ApJS..160..149S | Springob et al. 2005
 UGC06145          |  753 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC3521           |  797 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC3556           |  696 |    22 | 1985A&A...143..216H | Huchtmeier et al. 1985
 DDO092            |  928 |     6 | 1981ApJS...47..139F | Fisher et al. 1981
 LeoII             |   86 |     8 | 2007MNRAS.378..318B | Bosler et al. 2007
 NGC3593           |  631 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 AGC202256         |  630 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 IC2684            |  588 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 NGC3621           |  730 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 AGC215354         |  790 |     6 | 2012SDSS9.C...0000: | SDSS DR9 2012
 NGC3627           |  716 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 AGC213436         |  626 |    26 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 IC2787            |  708 |    27 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 IC2791            |  666 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 UGC06456          |  -94 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KDG078            |  575 |     2 | 2003A&A...401..483H | Huchtmeier et al. 2003
 LeoV              |  173 |     3 | 2008ApJ...686L..83B | Belokurov et al. 2008
 HIPASS J1131-31   |  715 |       | 2012HI............K | Koribalski 2012
 LeoIV             |  132 |     1 | 2007ApJ...670..313S | Simon et al. 2007
 HIPASS J1133-32   |  709 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC06541          |  249 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC3738           |  225 |     8 | 2002A&A...389...29S | Stil et al. 2002
 NGC3741           |  229 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO320-014        |  654 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC06757          |   82 |     4 | 2011ApJS..193...29A | Aihara et al. 2011
 KK109             |  211 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 DDO097            |  522 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 KKH73             |  594 |     6 | 2007AstL...33..512K | Karachentsev et al. 2007
 DDO099            |  251 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO379-007        |  644 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC06881          |  601 |     7 | 1992MNRAS.258..334S | Staveley-Smith et al. 1992
 MCG +05-28-046    |  590 |     1 | 2012SDSS9.C...0000: | SDSS DR9 2012
 KDG082            |  590 |    16 | 1990ApJS...72..245S | Schneider et al. 1990
 NGC3990           |  696 |    40 | 1991RC3.9.C...0000d | Vaucouleurs G. 1991
 LV J1157+5638     |  416 |     1 | 2012SDSS9.C...0000: | SDSS DR9 2012
 LV J1158+1535     |  565 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 BTS76             |  455 |    86 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 ESO572-034        | 1114 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KUG 1157+315      |  617 |    20 | 1993ApJ...409..110S | Scodeggio et al. 1993
 LV J1203+4739     |  492 |    13 | 2012SDSS9.C...0000: | SDSS DR9 2012
 LV J1203+3257     |  570 |     8 | 2012SDSS9.C...0000: | SDSS DR9 2012
 NGC4068           |  210 |     2 | 2005ApJS..160..149S | Springob et al. 2005
 NGC4080           |  565 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 ESO379-024        |  632 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 IC2992            |  599 |    39 | 1987A&AS...69..333T | Talavera et al. 1987
 KUG 1202+286      |  529 |    33 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 LV J1205+2813     |  534 |    14 | 2012SDSS9.C...0000: | SDSS DR9 2012
 MAPS1206+31       |  568 |    27 | 2004ApJ...607..202M | Mahdavi et al. 2004
 LV J1207+3133     |  562 |     4 | 2012SDSS9.C...0000: | SDSS DR9 2012
 UGC07131          |  253 |    16 | 1990ApJS...72..245S | Schneider et al. 1990
 NGC4136           |  608 |    10 | 1999A&AS..135..255K | Kraan-Korteweg et al. 1999
 MCG +06-27-017    |  339 |    40 | 1995ApJS...99..391H | Huchra et al. 1995
 NGC4144           |  265 |     8 | 2005ApJS..160..149S | Springob et al. 2005
 IC3023            |  817 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 NGC4150           |  226 |    22 | 1990ApJS...72..433H | Huchra et al. 1990
 NGC4163           |  162 |     5 | 2000AJ....120.2975S | Simpson et al. 2000
 KK127             |  131 |     6 | 2000A&AS..141..469H | Huchtmeier et al. 2000
 NGC4190           |  235 |    22 | 1986A&AS...63..323H | Huchtmeier et al. 1986
 LV J1213+2957     |  225 |     1 | 2012SDSS9.C...0000: | SDSS DR9 2012
 ESO321-014        |  609 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC07242          |   66 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 VCC0114           | 2067 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UGC7257           |  956 |     2 | 1996ApJS..105..269H | Hoffman et al. 1996
 NGC4204           |  861 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 UGC07267          |  473 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 UGC07271          |  546 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 NGC4214           |  291 |    22 | 1985A&A...143..216H | Huchtmeier et al. 1985
 MCG +09-20-131    |  159 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 VCC0169           | 2219 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 IC3077            | 1406 |     6 | 2011AJ....142..170H | Haynes et al. 2011
 UGC07298          |  174 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC4236           |   -3 |     0 | 1978ApJ...223..391D | Dickel et al. 1978
 UGC07320          |  541 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4244           |  247 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4242           |  517 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 LV J1217+3231     |  447 |    10 | 2012SDSS9.C...0000: | SDSS DR9 2012
 UGC7321           |  403 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 NGC4248           |  484 |    27 | 1977A&A....61..297v | van Albada 1977
 LV J1218+4655     |  420 |    34 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 AGC229053         |  425 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 IC3104            |  429 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC4258           |  447 |     7 | 1987MNRAS.224..953S | Staveley-Smith et al. 1987
 KDG101            |  132 |    24 | 2011SDSS..........0 | SDSS 2011
 KK133             |  561 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 IC 779            |  213 |    26 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 VCC0381           |  480 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 NGC4288           |  533 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 CVnHI             |  420 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 KUG 1218+387      |  570 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO120            |  463 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 KDG104            | 1861 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 KDG105            |  567 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC7427           |  726 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4308           |  642 |    20 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 GR34              | 1298 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 VCC0565           |  871 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 KK141             |  573 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 IC3247            |  569 |    16 | 2005ApJS..160..149S | Springob et al. 2005
 IC3308            |  316 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KK144             |  480 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC07512          | 1506 |     2 | 1996ApJS..105..269H | Hoffman et al. 1996
 AGC749236         |  273 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 VCC0841           |  499 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 NGC4395           |  313 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO123            |  722 |     1 | 1999PASP..111..438F | Falco et al. 1999
 UGCA281           |  279 |     0 | 1981ApJ...247..823T | Thuan et al. 1981
 IC3341            |  372 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 SBS 1224+533      |  300 |     3 | 2012SDSS9.C...0000: | SDSS DR9 2012
 ComaI             |   98 |     1 | 2007ApJ...670..313S | Simon et al. 2007
 DDO126            |  217 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO125            |  206 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC07584          |  603 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KKH80             |  602 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC4449           |  201 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO127            |  275 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 UGC07596          |  565 |     6 | 2011AJ....142..170H | Haynes et al. 2011
 UGC07605          |  310 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC4455           |  644 |    16 | 2005ApJS..160..149S | Springob et al. 2005
 DDO129            |  538 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4460           |  499 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 KK149             |  407 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 UGC07639          |  385 |     7 | 1982MNRAS.201.1073A | Appleton et al. 1982
 UGC07636          |  469 |    16 | 1990ApJS...72..245S | Schneider et al. 1990
 KK151             |  436 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC4485           |  480 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4490           |  586 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 CGCG 014-054      | 1105 |     5 | 1992A&AS...96..435G | Garcia et al. 1992
 MAPS1231+42       |  563 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO131            |  643 |    10 | 1999A&AS..135..255K | Kraan-Korteweg et al. 1999
 UGC7678           |  679 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 UGC07690          |  536 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4517           | 1134 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC07699          |  495 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO133            |  330 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4509           |  934 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 BTS142            |  719 |     4 | 2009A&A...506..677H | Huchtmeier et al. 2009
 KDG155            |  750 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KK152             |  838 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC7719           |  679 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4534           |  802 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 UGC7751           |  605 |     6 | 1992ApJS...81....5S | Schneider et al. 1992
 LV J1235-1104     | 1110 |    10 | 2011LV.HIPASS.....K | Current work
 NGC4559           |  814 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UGC07774          |  528 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 VCC1675           | 1790 |     6 | 2011AJ....142..170H | Haynes et al. 2011
 IC3583            | 1120 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 MAPS1236+33       |  526 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 IC3591            | 1632 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KKSG29            |  756 |     2 | 2009A&A...506..677H | Huchtmeier et al. 2009
 Arp211            |  458 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 VCC1713           | 1638 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KKSG30            | 1105 |     2 | 2001A&A...377..801H | Huchtmeier et al. 2001
 VCC1725           | 1076 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 UGCA292           |  308 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC07827          |  553 |     2 | 1991ApJS...77..331H | Haynes et al. 1991
 KDG177            | 1005 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 NGC4594           | 1090 |    33 | 1977ApJ...214..383F | Faber et al. 1977
 NGC4605           |  151 |    17 | 1994A&AS..107..129B | Broeils et al. 1994
 AGC749241         |  451 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 BTS146            |  446 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 SUCD1             | 1305 |     9 | 2009MNRAS.394L..97H | Hau et al. 2009
 VCC1822           | 1008 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 NGC4597           | 1039 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC4600           |  852 |    34 | 2003AJ....126.2268W | Wegner et al. 2003
 NGC4618           |  536 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 LV J1241+3251     |  693 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4625           |  606 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 NGC4627           |  542 |    16 | 2002A&A...384..371S | Simien et al. 2002
 NGC4631           |  583 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 IC3687            |  350 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 KDG192            |  443 |     7 | 1992MNRAS.258..334S | Staveley-Smith et al. 1992
 LV J1243+4127     |  402 |     2 | 2009A&A...506..677H | Huchtmeier et al. 2009
 KK160             |  293 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC4656           |  638 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 DDO143            |  607 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 UGCA294           |  955 |     0 | 1981ApJ...247..823T | Thuan et al. 1981
 ESO381-018        |  624 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 IC3718            |  849 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 ESO381-020        |  589 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 VCC2033           | 1485 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 VCC2037           | 1142 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UGCA298           |  844 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UGC07950          |  508 |    22 | 1986A&AS...63..323H | Huchtmeier et al. 1986
 DDO147            |  331 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 FGC1497           |  519 |     7 | 2000A&AS..143..421M | Matthews et al. 2000
 HIPASS J1247-77   |  413 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC4707           |  468 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 DDO148            | 1337 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC4700           | 1411 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 MAPS1249+44       |  513 |    17 | 2009MNRAS.400..743K | Kova&#269; et al. 2009
 UGC07983          |  694 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UGC07990          |  512 |    16 | 1990ApJS...72..245S | Schneider et al. 1990
 NGC4736           |  308 |     8 | 2005ApJS..160..149S | Springob et al. 2005
 BTS157            |  572 |     4 | 2009A&A...506..677H | Huchtmeier et al. 2009
 KK167             | 1248 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 IC3840            |  557 |       | 2000ApJS..131...47E | Eder et al. 2000
 NGC4765           |  722 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 KKSG38            | 1071 |     4 | 2001A&A...377..801H | Huchtmeier et al. 2001
 DDO153            |  821 |     1 | 2007AJ....134.1849W | Warren et al. 2007
 DDO154            |  374 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UGC08030          |  628 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 ESO443-009        |  645 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KDG215            |  419 |     9 | 1997ApJS..111..233S | Schombert et al. 1997
 UGC08061          |  563 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 NGC4826           |  409 |     8 | 2005ApJS..160..149S | Springob et al. 2005
 CVnII             | -129 |     1 | 2007ApJ...670..313S | Simon et al. 2007
 MCG-02-33-075     | 1267 |     9 | 2006HIPAS.C...0000: | The Multibeam Survey Working Group 2006
 GR8               |  217 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 HIPASS J1258-04   | 1318 |     6 | 2006HIPAS.C...0000: | The Multibeam Survey Working Group 2006
 NGC4861           |  842 |    10 | 1999A&AS..135..255K | Kraan-Korteweg et al. 1999
 KK176             |  825 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGCA319           |  755 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 DDO161            |  744 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO269-037        |  744 |     2 | 2006PhD...........B | Bouchard 2006
 KK182             |  617 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC4945           |  563 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 IC4182            |  321 |     2 | 1988ApJS...67....1T | Tifft et al. 1988
 DDO165            |   31 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 MCG -03-34-002    |  959 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC08215          |  224 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC08245          |  -58 |    55 | 2011MNRAS.415L..31K | Karachentsev et al. 2011
 MCG -04-31-038    |  684 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO269-058        |  400 |    18 | 1999ApJ...524..612B | Banks et al. 1999
 NGC5023           |  407 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 CGCG 217-018      |  555 |    33 | 2006SDSS5.C...0000: | Sloan Digital Sky Survey Team 2006
 KKH82             |  529 |    40 | 2011SDSS..........0 | SDSS 2011
 ESO269-066        |  784 |    31 | 2000AJ....119..166J | Jerjen et al. 2000
 NGC5011C          |  647 |    96 | 2007AJ....133.1756S | Saviane et al. 2007
 DDO167            |  150 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 DDO168            |  191 |     8 | 2002A&A...389...29S | Stil et al. 2002
 DDO169NW          |  242 |     2 | 2000AJ....120.2975S | Simpson et al. 2000
 DDO169            |  262 |     5 | 2000AJ....120.2975S | Simpson et al. 2000
 NGC5055           |  500 |     8 | 2005ApJS..160..149S | Springob et al. 2005
 CGCG 189-050      |  324 |     6 | 2012SDSS9.C...0000: | SDSS DR9 2012
 NGC5068           |  668 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 AGC732602         |  925 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 KK195             |  572 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KK196             |  741 |    15 | 2000AJ....119..593J | Jerjen et al. 2000
 NGC5102           |  464 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KK200             |  494 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC5128           |  556 |    10 | 2004AJ....128...16K | Koribalski et al. 2004
 IC4247            |  420 |    18 | 1999ApJ...524..612B | Banks et al. 1999
 ESO324-024        |  514 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 CVnI              |   31 |     1 | 2007ApJ...670..313S | Simon et al. 2007
 LV J1328+4937     |  395 |     9 | 2012SDSS9.C...0000: | SDSS DR9 2012
 PGC170257         |  650 |    29 | 1998AJ....116....1D | da Costa et al. 1998
 NGC5204           |  201 |     2 | 2005ApJS..160..149S | Springob et al. 2005
 NGC5194           |  446 |     7 | 1986MNRAS.221..393A | Appleton et al. 1986
 NGC5195           |  455 |    11 | 2005ApJS..160..149S | Springob et al. 2005
 UGC08508          |   56 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 AGC238890         |  360 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 NGC5206           |  583 |     6 | 1993AJ....105.1411P | Peterson et al. 1993
 NGC5229           |  359 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 NGC5238           |  229 |     0 | 1981ApJ...247..823T | Thuan et al. 1981
 ESO270-017        |  827 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGCA365           |  577 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 MCG +08-25-028    |  480 |     3 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 NGC5236           |  519 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 HIDEEP J1337-33   |  591 |    18 | 2008AstL...34..832K | Karachentsev et al. 2008
 ESO444-084        |  587 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 HIPASS J1337-39   |  492 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC5237           |  361 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 UGC08638          |  276 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 DDO181            |  214 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC5253           |  407 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 IC4316            |  576 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC5264           |  478 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 KK211             |  600 |    31 | 2008ApJ...674..909P | Puzia et al. 2008
 LV J1342+4840     |  438 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 DDO182            |  663 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 ESO325-011        |  544 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 ESO174-001        |  686 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 HIPASS J1348-37   |  582 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KK221             |  507 |    13 | 2008ApJ...674..909P | Puzia et al. 2008
 ESO383-087        |  326 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 DDO183            |  188 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 HIPASS J1351-47   |  529 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KKH86             |  287 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 HolmIV            |  140 |    17 | 1994A&AS..107..129B | Broeils et al. 1994
 UGC08833          |  221 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 GBT 1355+5439     |  210 |     2 | 2012SDSS9.C...0000: | SDSS DR9 2012
 ESO384-016        |  561 |    32 | 2000AJ....119..166J | Jerjen et al. 2000
 BootesIII         |  198 |     4 | 2009ApJ...702L...9C | Carlin et al. 2009
 UGC08882          |  348 |    24 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 BootesII          | -117 |     5 | 2009ApJ...690..453K | Koch et al. 2009
 BootesI           |   99 |     2 | 2007MNRAS.380..281M | Martin et al. 2007
 NGC5398           | 1220 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 MESSIER101        |  240 |    11 | 1979A&A....74..138H | Huchtmeier et al. 1979
 NGC5408           |  502 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC5474           |  288 |     0 | 1978ApJ...223..391D | Dickel et al. 1978
 NGC5477           |  312 |     4 | 1980MNRAS.191..253D | Davies et al. 1980
 KK230             |   63 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 CIRCINUS          |  434 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KKH87             |  320 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 DDO187            |  160 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
